-201.870224,33.428864,21.783932,19.762352,-8.252250,-1.133032,6.664784,-5.353146,-3.419151,1.926214,-2.980700,-1.052882,-0.769411,50.473656,47.423161,16.232582,14.167189,11.207183,15.637947,10.940037,5.841463,4.606174,5.354722,4.882462,3.446091,3.030509,0
-168.335770,27.907389,26.873774,10.848467,2.700123,9.440618,0.530291,-1.332483,-10.376677,-0.843462,-4.350880,2.590898,-3.561871,32.419109,46.872993,14.144000,13.568403,7.837847,8.385169,5.369882,5.704119,9.460606,4.299288,3.717922,3.964752,4.311099,0
-181.904724,23.328716,53.207397,9.511826,-18.081097,12.248758,11.485009,-2.297700,-3.574285,5.216207,-7.237019,-0.259344,-0.921403,50.269226,57.799786,17.839191,15.267810,16.765778,8.955883,9.295573,5.431966,5.178810,8.147932,5.412988,3.225578,3.387288,0
-153.528564,42.889149,10.117971,16.004498,1.670413,4.834753,13.299965,-9.296569,-0.412091,-0.636812,-8.599847,5.142509,-1.963229,31.861357,41.479176,7.777070,7.647467,7.531803,11.116782,6.274757,5.142308,4.404763,6.523872,7.275946,4.744088,3.731971,0
-154.387100,21.593298,5.704078,11.838660,3.837841,8.377508,4.293063,-4.999686,-1.007062,-0.627579,-5.294640,3.089641,1.182827,43.877224,32.125175,11.017673,10.113602,10.267011,4.678926,6.455022,5.000660,5.698368,4.856350,4.083488,3.504726,2.773196,0
-149.578812,39.201050,9.484766,13.946802,-5.040782,2.283733,7.969426,1.585384,-0.828092,-0.647636,-2.282332,1.617254,-1.725353,46.396175,37.505554,8.377250,8.941588,9.079063,14.282817,5.987217,8.111934,7.310275,3.265609,3.894253,3.970577,3.736046,0
-152.518631,45.483574,12.045094,19.016935,-2.858501,7.596907,10.872492,-0.310186,-0.530532,-1.445280,-1.789677,0.441386,0.105062,34.736217,36.137100,12.068442,9.428664,11.854345,17.159983,8.804726,4.378249,4.701512,4.005494,6.251638,2.754076,3.339133,0
-149.309189,25.536388,13.333241,24.711224,-4.319355,-2.884940,-3.803962,-4.387455,-4.370701,-5.057081,-11.107348,3.989683,3.552458,32.567867,40.044224,8.782782,4.298927,6.565174,6.196697,4.683434,7.153805,5.126456,3.736709,3.781894,3.745173,3.880178,0
-160.667023,77.203072,7.480811,13.950645,-0.176856,0.066311,-1.638220,-6.737783,-3.973527,-4.249533,-1.321168,6.572525,1.607199,35.549427,21.360106,5.728194,5.853720,9.571490,5.205341,3.997509,6.598947,4.557512,4.260653,2.885321,3.985247,4.577209,0
-162.607071,64.192291,17.564800,11.498755,8.649373,5.088370,4.465272,-0.999267,-2.313901,4.975566,-2.225305,1.420342,-4.039140,69.035172,14.188745,10.426155,15.214031,8.312218,4.832108,6.613860,4.525356,3.190606,5.489033,2.878386,2.343822,3.670179,1
-113.081741,41.162216,-3.693076,8.885882,10.977102,2.716455,-3.735727,4.153078,-1.810580,0.036895,0.411835,0.472589,0.646588,34.369110,11.105756,5.864338,5.794053,6.510332,5.410159,5.203467,3.945801,5.103983,3.970766,2.883228,4.141369,2.781310,1
